user_query,agent_response
Hi there,"👋 Hi there! Welcome to **IVY Moda Fashion Store**! 🌟
How can I assist you today? 😊✨"
Do you offer free shipping?,"Absolutely! 🎉 IVY Moda offers free shipping on orders over 1 million VND. 🚚✨
If you have any other questions or need further assistance, just let us know! 💬😊"
How can I maintain the shape of my clothing?,"To keep your clothes looking fabulous, here are some tips to maintain their shape:

1. 🔄 Rotate Your Wardrobe: Mix it up by wearing clothes alternately, giving them a chance to breathe. After each wear, hang them in a well-ventilated space to keep them fresh. 🌬️
2. 👜 Keep It Light: Only carry the essentials in your pockets to avoid any garment distortion. ✨
3. 🧼 Stay Clean: Gently use a soft brush or lint roller to remove any debris before washing—your clothes will thank you! 🙌
4. 👔 Suits Deserve the Best: Never throw your suits in the washer. For the best results, take them to a pro cleaner to keep them in pristine condition. 🧑‍🔬

Got more questions? Don't hesitate to ask! 😊💬"
Give me list of categories,"Here’s a stylish list of clothing categories available at IVY Moda Fashion Store:

- 👚 Shirts
- 👕 T-Shirts
- 🧥 Sweaters
- 🧥 Coats
- 🧳 Jackets
- 👖 Pants
- 🩳 Shorts
- 👗 Dresses

If you have any questions about these categories or need help with anything else, feel free to ask! 😄👗"
Give me list of policies,"Here’s a list of our policies at IVY Moda Fashion Store, just for you:

- 💳 Payments Policy
- 🔄 Returns Policy
- 🛠️ Warranty Policy
- 🚚 Shipping Policy
- 🔒 Privacy Policy

Let me know if you need more info on any of them! 😊"
Do you allow return product?,"🌟 Absolutely! Here’s our return policy at IVY Moda Fashion Store:

1. **Return Period**: Returns are accepted within 15 days from the date you receive the items.

2. **Return Locations**: You can return items at all IVY Moda stores and through our Online Warehouse system.

3. **Return Conditions**:
- The returned items must still have the original tags and barcodes.
- Items must be unused and include the original invoice.
- This applies to products made of cotton, wool, cotton-wool blends, and jeans.

Additionally, if you purchased a product with a discount of 50% or less, you can exchange it for size, color, or model within the same 15-day period, provided the product remains intact and unused.

If you have any more questions or need further assistance, feel free to ask! 😊"
"Give me product Lucille Silk Collared Shirt","Here's the stunning Lucille Silk Collared Shirt for you:

- 💲 Price: $41.00
- ✨ Description: Modern office wear doesn't have to be stiff and formal anymore! The Lucille shirt combines style and elegance, perfect for today's sophisticated woman.
- ✅ Availability: In stock
- 🖼️ ![](https://pubcdn.ivymoda.com/files/product/thumab/1400/2024/11/05/a9d992905aa523d5ffcd9646752e38c1.webp)
- 🔗 [👉 Shop Now](https://ivymoda.com/sanpham/ao-so-mi-lua-co-do-lucille-ms-17m8943-40924)

Don't miss out on this chic addition to your wardrobe! 😍"
"How much is the product "French Style Vest (with Croptop)"?","The "French Style Vest (with Croptop)" is priced at just 39.0 USD. A chic addition to your wardrobe! 😍"
"Is ""Sleeves Style Shirt"" in stock?","Yep, the "Sleeves Style Shirt" is in stock and ready to be yours! 😄"
"Do you have "Skort Design Shorts"?","We have the stylish Skort Design Shorts in stock. Here are the details:

- 💲 Price: $474
- ✨ Description: These high-waisted Tuysi shorts effortlessly combine comfort and elegance, featuring a skirt-like design, luxurious metal buttons, and lightweight, wrinkle-resistant fabric. Ideal for outings, parties, or work!
- ✅ Availability: In stock
- 🖼️ Image: ![](https://pubcdn.ivymoda.com/files/product/thumab/1400/2023/07/06/4c26d3c556c53fb5b5fec68c46d32e1a.webp)
- 🔗 [👉 Shop Now](https://ivymoda.com/sanpham/quan-sooc-gia-vay-ms-20m8137-36628)
Feel free to grab yours! 😍"
